statefips,year,month,number_schools,share_all_closed_50,share_all_closed_25,share_all_closed_75,share_elem_closed_50,share_elem_closed_25,share_elem_closed_75,share_middlehigh_closed_50,share_middlehigh_closed_25,share_middlehigh_closed_75,mean_all_change,mean_elem_change,mean_middlehigh_change,total_students,state_abbrev,state_name
36,2020,2,4472,.011023622,.048593927,.0017997751,.011877394,.059386972,.0026819922,.0096882898,.038753159,.0012636899,.24865335,.21725029,.27856618,2586757,NY,NEW YORK
37,2020,2,2554,.018039215,.084313728,.0035294117,.02077922,.098701298,.0045454544,.020341741,.068348251,.0040683481,.19626454,.16263209,.22680418,1548582,NC,NORTH CAROLINA
38,2020,2,459,.024122806,.072368421,.0021929825,.029411765,.088235296,.0036764706,.035999998,.092,.0040000002,.27457342,.25637832,.28117564,107318,ND,NORTH DAKOTA
39,2020,2,3349,.014683847,.045849565,.0026970333,.017386723,.048472077,.0042149629,.013800425,.050424628,.0021231424,.34146708,.32002494,.34491304,1683843,OH,OHIO
40,2020,2,1670,.015653221,.062612884,.0012040939,.020277482,.072572038,.0021344717,.015655577,.063600786,.00097847357,.30666414,.2814852,.34301782,674253,OK,OKLAHOMA
41,2020,2,1203,.01336675,.04010025,.0041771093,.015873017,.043650795,.0052910051,.017377567,.044233806,.0047393367,.36236021,.3355571,.38765791,561994,OR,OREGON
42,2020,2,2758,.010556972,.036403351,.002184201,.011309524,.040476192,.0017857143,.0084745763,.033898305,.0014124294,.35225338,.33190128,.35953468,1634349,PA,PENNSYLVANIA
44,2020,2,298,.010067114,.070469797,.0033557047,.010928961,.060109291,.0054644807,.0080645159,.088709675,0,.27685091,.25406951,.31119803,141793,RI,RHODE ISLAND
45,2020,2,1203,.013344454,.034195162,.0041701416,.009615385,.027472528,.0027472528,.016245488,.045126352,.0054151625,.36314893,.33430469,.39169002,767415,SC,SOUTH CAROLINA
46,2020,2,584,.035460994,.078014188,.0035460992,.052238807,.097014926,.0037313432,.037940379,.100271,.0054200543,.40863344,.33845279,.40740901,130984,SD,SOUTH DAKOTA
47,2020,2,1745,.0080413558,.053417575,.0022975302,.008538899,.039848197,.0018975332,.008247423,.068041235,.0020618557,.32914236,.33746821,.34410682,1005803,TN,TENNESSEE
48,2020,2,8190,.012153204,.057574268,.0025779523,.011408421,.055590127,.0024891102,.014248705,.062435232,.0036269431,.22500786,.20965561,.24909395,5193987,TX,TEXAS
49,2020,2,937,.011777302,.047109209,.005353319,.012820513,.044871796,.0048076925,.01010101,.047979798,.005050505,.25921738,.26439783,.23846908,637478,UT,UTAH
50,2020,2,288,.031468533,.13286713,0,.036585364,.12804878,0,.037383176,.13084112,0,.17456202,.17153268,.22408012,79236,VT,VERMONT
51,2020,2,1872,.0053504547,.031032639,.0010700909,.0061782878,.035304502,.00088261254,.0053333333,.022666667,.0013333333,.30671185,.28794354,.3463698,1257256,VA,VIRGINIA
53,2020,2,2141,.010900474,.044549763,.0042654029,.01027668,.041897234,.0039525693,.010956176,.045816734,.0049800798,.40034631,.37719089,.44031599,1071369,WA,WASHINGTON
54,2020,2,645,.018750001,.056249999,.0015625,.025252525,.06818182,.0025252525,.006289308,.03773585,0,.39410666,.34937471,.47898686,259026,WV,WEST VIRGINIA
55,2020,2,2124,.0080683436,.035595633,.0014238254,.0064620357,.039579969,.00080775446,.0099999998,.033636365,.0018181818,.3495445,.31845096,.37476811,852320,WI,WISCONSIN
